CountyName,Population,Lat,Long,ConfirmedCases,Case by Population,Date
Carlow,56932,52.7168,-6.8367,185,324.949062038924,2020-08-07
Cavan,76176,53.9878,-7.2937,881,1156.5322411258098,2020-08-07
Clare,118817,52.8917,-8.9889,403,339.17705378859904,2020-08-07
Cork,542868,51.9517,-8.6372,1582,291.415224327092,2020-08-07
Donegal,159192,54.8989,-7.96,487,305.91989547213404,2020-08-07
Dublin,1347359,53.3605,-6.292000000000001,12601,935.237008102518,2020-08-07
Galway,258058,53.3705,-8.7362,500,193.754892311031,2020-08-07
Kerry,147707,52.1689,-9.565,318,215.29108302247,2020-08-07
Kildare,222504,53.238,-6.7837,1825,820.2099737532809,2020-08-07
Kilkenny,99232,52.5816,-7.2175,359,361.778458561754,2020-08-07
Laois,84697,52.9952,-7.3423,327,386.082151670071,2020-08-07
Leitrim,32044,54.1261,-7.9939,85,265.260267132693,2020-08-07
Limerick,194899,52.5255,-8.7412,620,318.113484420136,2020-08-07
Longford,40873,53.7325,-7.6952,288,704.6216328627701,2020-08-07
Louth,128884,53.9161,-6.487,799,619.9373079668541,2020-08-07
Mayo,130507,53.9191,-9.2537,584,447.485575486372,2020-08-07
Meath,195044,53.6851,-6.715,845,433.23557761325696,2020-08-07
Monaghan,61386,54.1857,-6.9452,543,884.566513537289,2020-08-07
Offaly,77961,53.2632,-7.6607,557,714.4597939995641,2020-08-07
Roscommon,64544,53.8008,-8.2735,347,537.617749132375,2020-08-07
Sligo,65535,54.1581,-8.5345,153,233.463035019455,2020-08-07
Tipperary,159553,52.6407,-7.9206,547,342.832789104561,2020-08-07
Waterford,116176,52.2035,-7.4935,166,142.886654730753,2020-08-07
Westmeath,88770,53.5524,-7.4219,682,768.277571251549,2020-08-07
Wexford,149722,52.5164,-6.5037,244,162.96870199436302,2020-08-07
Wicklow,142425,53.0205,-6.3442,716,502.720730208882,2020-08-07
