Date,HospitalisedCases,Critical_ICUCases,Aged5,Aged5-14,Aged15-24,Aged25-34,Aged35to44,Aged45to54,Aged55to64,Aged65up
2020-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,84.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,108.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,140.0,12.0,1.0,2.0,9.0,16.0,15.0,11.0,23.0,31.0
2020-03-21,173.0,13.0,2.0,1.0,9.0,24.0,18.0,28.0,31.0,60.0
2020-03-22,211.0,17.0,2.0,2.0,13.0,27.0,22.0,40.0,34.0,71.0
2020-03-23,239.0,25.0,2.0,2.0,14.0,31.0,26.0,42.0,37.0,85.0
2020-03-24,277.0,36.0,2.0,2.0,15.0,36.0,26.0,52.0,43.0,101.0
2020-03-25,305.0,39.0,2.0,2.0,15.0,38.0,27.0,57.0,50.0,114.0
2020-03-26,340.0,47.0,2.0,2.0,16.0,38.0,29.0,64.0,56.0,133.0
2020-03-27,419.0,59.0,3.0,3.0,17.0,45.0,40.0,70.0,71.0,169.0
2020-03-28,489.0,67.0,3.0,3.0,18.0,48.0,45.0,85.0,76.0,210.0
2020-03-29,564.0,77.0,3.0,3.0,19.0,52.0,51.0,98.0,88.0,249.0
2020-03-30,645.0,84.0,3.0,3.0,21.0,57.0,61.0,107.0,101.0,290.0
2020-03-31,703.0,113.0,4.0,3.0,22.0,61.0,66.0,116.0,108.0,321.0
2020-04-01,834.0,126.0,6.0,3.0,26.0,69.0,76.0,134.0,130.0,388.0
2020-04-02,932.0,134.0,6.0,4.0,29.0,77.0,85.0,152.0,145.0,432.0
2020-04-03,1039.0,148.0,6.0,4.0,32.0,81.0,94.0,163.0,160.0,497.0
2020-04-04,1118.0,158.0,6.0,4.0,34.0,83.0,101.0,174.0,174.0,540.0
2020-04-05,1203.0,165.0,7.0,4.0,35.0,88.0,106.0,183.0,185.0,593.0
2020-04-06,1265.0,169.0,3.0,7.0,35.0,93.0,111.0,188.0,191.0,635.0
2020-04-07,1345.0,194.0,7.0,3.0,36.0,96.0,116.0,201.0,207.0,677.0
2020-04-08,1472.0,224.0,7.0,4.0,37.0,102.0,127.0,224.0,230.0,739.0
2020-04-09,1521.0,230.0,9.0,4.0,37.0,103.0,130.0,231.0,237.0,768.0
2020-04-10,1631.0,244.0,10.0,4.0,39.0,115.0,137.0,249.0,256.0,819.0
2020-04-11,1718.0,253.0,10.0,4.0,41.0,119.0,144.0,256.0,271.0,871.0
2020-04-12,1777.0,261.0,10.0,5.0,43.0,123.0,146.0,263.0,279.0,906.0
2020-04-13,1849.0,268.0,11.0,5.0,44.0,125.0,150.0,272.0,287.0,953.0
2020-04-14,1903.0,275.0,12.0,5.0,43.0,127.0,154.0,278.0,293.0,989.0
2020-04-15,1968.0,280.0,13.0,4.0,43.0,130.0,159.0,288.0,301.0,1028.0
2020-04-16,2026.0,284.0,13.0,4.0,43.0,132.0,164.0,298.0,308.0,1062.0
2020-04-17,2082.0,294.0,13.0,5.0,44.0,134.0,168.0,304.0,318.0,1094.0
2020-04-18,2168.0,296.0,13.0,6.0,47.0,135.0,177.0,314.0,330.0,1144.0
2020-04-19,2233.0,303.0,13.0,7.0,50.0,139.0,183.0,320.0,343.0,1176.0
2020-04-20,2272.0,306.0,13.0,7.0,50.0,143.0,188.0,322.0,349.0,1198.0
2020-04-21,2323.0,315.0,13.0,8.0,51.0,147.0,194.0,326.0,356.0,1226.0
2020-04-22,2387.0,322.0,13.0,8.0,52.0,150.0,198.0,330.0,366.0,1267.0
2020-04-23,2424.0,331.0,13.0,8.0,51.0,151.0,201.0,334.0,372.0,1291.0
2020-04-24,2486.0,338.0,14.0,8.0,53.0,155.0,210.0,343.0,379.0,1321.0
2020-04-25,2536.0,344.0,14.0,8.0,53.0,157.0,216.0,345.0,385.0,1321.0
2020-04-26,2576.0,349.0,14.0,8.0,53.0,156.0,218.0,350.0,392.0,1382.0
2020-04-27,2624.0,353.0,14.0,8.0,54.0,160.0,226.0,352.0,396.0,1412.0
2020-04-28,2638.0,358.0,14.0,8.0,54.0,159.0,228.0,353.0,401.0,1418.0
2020-04-29,2669.0,355.0,15.0,8.0,55.0,167.0,228.0,356.0,406.0,1432.0
