CountyName,Population,Lat,Long,ConfirmedCases,Case by Population,Date
Carlow,56932,52.7168,-6.8367,178,312.653692123937,2020-07-19
Cavan,76176,53.9878,-7.2937,867,1138.15374921235,2020-07-19
Clare,118817,52.8917,-8.9889,369,310.561619970206,2020-07-19
Cork,542868,51.9517,-8.6372,1557,286.81005327261903,2020-07-19
Donegal,159192,54.8989,-7.96,472,296.497311422685,2020-07-19
Dublin,1347359,53.3605,-6.292000000000001,12390,919.5767423530029,2020-07-19
Galway,258058,53.3705,-8.7362,492,190.654814034054,2020-07-19
Kerry,147707,52.1689,-9.565,316,213.93705105377498,2020-07-19
Kildare,222504,53.238,-6.7837,1524,684.931506849315,2020-07-19
Kilkenny,99232,52.5816,-7.2175,356,358.755240245082,2020-07-19
Laois,84697,52.9952,-7.3423,266,314.060710532841,2020-07-19
Leitrim,32044,54.1261,-7.9939,83,259.018849082512,2020-07-19
Limerick,194899,52.5255,-8.7412,589,302.20781019912897,2020-07-19
Longford,40873,53.7325,-7.6952,287,702.175029970885,2020-07-19
Louth,128884,53.9161,-6.487,791,613.730175972192,2020-07-19
Mayo,130507,53.9191,-9.2537,574,439.823151248592,2020-07-19
Meath,195044,53.6851,-6.715,817,418.879842497078,2020-07-19
Monaghan,61386,54.1857,-6.9452,540,879.67940572769,2020-07-19
Offaly,77961,53.2632,-7.6607,486,623.388617385616,2020-07-19
Roscommon,64544,53.8008,-8.2735,346,536.068418443233,2020-07-19
Sligo,65535,54.1581,-8.5345,148,225.83352407110698,2020-07-19
Tipperary,159553,52.6407,-7.9206,543,340.325785162297,2020-07-19
Waterford,116176,52.2035,-7.4935,166,142.886654730753,2020-07-19
Westmeath,88770,53.5524,-7.4219,676,761.51853103526,2020-07-19
Wexford,149722,52.5164,-6.5037,223,148.942707150586,2020-07-19
Wicklow,142425,53.0205,-6.3442,710,498.507986659645,2020-07-19
