Confirmed,Deaths,Active,Recovered,Dates
555,17,510,28,2020-01-22
654,18,606,30,2020-01-23
941,26,879,36,2020-01-24
1434,42,1353,39,2020-01-25
2118,56,2010,52,2020-01-26
2927,82,2784,61,2020-01-27
5578,131,5340,107,2020-01-28
6166,133,5907,126,2020-01-29
8234,171,7920,143,2020-01-30
9927,213,9492,222,2020-01-31
12038,259,11495,284,2020-02-01
16787,362,15953,472,2020-02-02
19895,426,18846,623,2020-02-03
23906,492,22562,852,2020-02-04
27652,564,25964,1124,2020-02-05
30811,634,28690,1487,2020-02-06
34343,719,31613,2011,2020-02-07
37081,806,33659,2616,2020-02-08
40109,906,35959,3244,2020-02-09
42633,1013,37674,3946,2020-02-10
44690,1113,38894,4683,2020-02-11
45069,1118,38799,5152,2020-02-12
60223,1371,52555,6297,2020-02-13
66708,1523,57125,8060,2020-02-14
68783,1666,57720,9397,2020-02-15
70897,1770,58253,10874,2020-02-16
72834,1868,58374,12592,2020-02-17
74628,2008,58259,14361,2020-02-18
75050,2123,56799,16128,2020-02-19
75599,2246,55168,18185,2020-02-20
76229,2250,55079,18900,2020-02-21
77990,2457,52637,22896,2020-02-22
78316,2467,52444,23405,2020-02-23
78882,2627,51017,25238,2020-02-24
79739,2707,49116,27916,2020-02-25
80705,2767,47553,30385,2020-02-26
82076,2810,45985,33281,2020-02-27
83465,2867,43883,36715,2020-02-28
85304,2936,42590,39778,2020-02-29
87775,2990,42065,42720,2020-03-01
89789,3079,41110,45600,2020-03-02
92421,3154,41041,48226,2020-03-03
94776,3249,40353,51174,2020-03-04
97322,3342,40180,53800,2020-03-05
101638,3455,42344,55839,2020-03-06
105731,3555,43831,58345,2020-03-07
109736,3799,45257,60680,2020-03-08
113154,3981,46712,62461,2020-03-09
119065,4267,50408,64390,2020-03-10
125841,4604,54552,66685,2020-03-11
133378,4918,60436,68024,2020-03-12
148264,5416,72896,69952,2020-03-13
159719,5851,81546,72322,2020-03-14
171307,6507,89076,75724,2020-03-15
182894,7149,97968,77777,2020-03-16
198738,8029,110180,80529,2020-03-17
223776,8960,131756,83060,2020-03-18
246243,10109,151428,84706,2020-03-19
275852,11624,177077,87151,2020-03-20
317087,13387,212284,91416,2020-03-21
351876,15120,239125,97631,2020-03-22
396376,17111,281169,98096,2020-03-23
424847,19528,297544,107775,2020-03-24
