Date,CommunityTransmission,CloseContact,TravelAbroad
2020-02-29,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0
2020-03-18,27.0,21.0,52.0
2020-03-19,35.0,21.0,43.0
2020-03-20,40.0,21.0,39.0
2020-03-21,42.0,23.0,35.0
2020-03-22,44.0,23.0,33.0
2020-03-23,43.0,24.0,33.0
2020-03-24,45.0,24.0,31.0
2020-03-25,47.0,24.0,29.0
2020-03-26,47.0,24.0,29.0
2020-03-27,51.0,23.0,26.0
2020-03-28,50.0,23.0,27.0
2020-03-29,51.0,25.0,24.0
2020-03-30,50.0,27.0,23.0
2020-03-31,51.0,26.0,23.0
2020-04-01,51.0,29.0,20.0
2020-04-02,59.0,23.0,18.0
2020-04-03,61.0,23.0,16.0
2020-04-04,62.0,23.0,15.0
2020-04-05,63.0,24.0,13.0
2020-04-06,65.0,23.0,12.0
2020-04-07,67.0,22.0,11.0
2020-04-08,67.0,23.0,10.0
2020-04-09,67.0,24.0,9.0
2020-04-10,66.0,25.0,9.0
2020-04-11,66.0,26.0,8.0
2020-04-12,67.0,26.0,7.0
2020-04-13,66.0,27.0,7.0
2020-04-14,66.0,27.0,7.0
2020-04-15,52.0,42.0,6.0
2020-04-16,51.0,43.0,6.0
2020-04-17,52.0,42.0,6.0
2020-04-18,52.0,43.0,5.0
2020-04-19,66.0,32.0,5.0
2020-04-20,62.0,41.0,4.0
2020-04-21,60.0,35.0,5.0
2020-04-22,61.0,35.0,4.0
2020-04-23,52.0,44.0,4.0
2020-04-24,49.0,47.0,4.0
2020-04-25,63.0,33.0,4.0
2020-04-26,63.0,33.0,4.0
2020-04-27,64.0,33.0,3.0
2020-04-28,63.0,34.0,3.0
2020-04-29,63.0,34.0,3.0
2020-04-30,64.0,33.0,3.0
2020-05-01,66.0,33.0,3.0
2020-05-02,63.0,34.0,3.0
2020-05-03,63.0,34.0,3.0
2020-05-04,63.0,34.0,3.0
2020-05-05,62.0,35.0,3.0
2020-05-06,62.0,35.0,3.0
2020-05-07,62.0,35.0,3.0
2020-05-08,61.0,36.0,3.0
2020-05-09,61.0,36.0,3.0
2020-05-10,61.0,36.0,3.0
2020-05-11,61.0,36.0,3.0
2020-05-12,61.0,36.0,3.0
2020-05-13,60.0,37.0,3.0
2020-05-14,60.0,37.0,3.0
2020-05-15,61.0,37.0,2.0
2020-05-16,60.0,37.0,3.0
2020-05-17,60.0,37.0,3.0
2020-05-18,60.0,37.0,3.0
2020-05-19,60.0,37.0,3.0
2020-05-20,60.0,38.0,2.0
2020-05-21,60.0,38.0,2.0
2020-05-22,60.0,38.0,2.0
2020-05-23,60.0,38.0,2.0
2020-05-24,59.0,38.0,3.0
2020-05-25,59.0,38.0,3.0
2020-05-26,59.0,38.0,3.0
2020-05-27,40.0,58.0,2.0
2020-05-28,40.0,58.0,2.0
2020-05-29,40.0,58.0,2.0
2020-05-30,40.0,58.0,2.0
2020-05-31,39.0,59.0,2.0
2020-06-01,39.0,58.0,2.0
2020-06-02,39.0,58.0,2.0
2020-06-03,39.0,59.0,2.0
2020-06-04,39.0,59.0,2.0
2020-06-05,39.0,59.0,2.0
2020-06-06,39.0,59.0,2.0
2020-06-07,39.0,59.0,2.0
2020-06-08,39.0,59.0,2.0
2020-06-09,38.0,59.0,2.0
2020-06-10,38.0,60.0,2.0
2020-06-11,38.0,60.0,2.0
2020-06-12,38.0,60.0,2.0
2020-06-13,37.0,60.0,2.0
2020-06-14,37.0,60.0,2.0
2020-06-15,37.0,60.0,2.0
2020-06-16,37.0,60.0,2.0
2020-06-17,37.0,60.0,2.0
2020-06-18,37.0,61.0,2.0
2020-06-19,37.0,61.0,2.0
2020-06-20,37.0,61.0,2.0
2020-06-21,37.0,61.0,2.0
2020-06-22,36.0,61.0,2.0
2020-06-23,36.0,62.0,2.0
2020-06-24,36.0,62.0,2.0
2020-06-25,35.0,62.0,2.0
2020-06-26,35.0,63.0,2.0
2020-06-27,35.0,63.0,2.0
2020-06-28,35.0,63.0,2.0
2020-06-29,35.0,63.0,2.0
2020-06-30,35.0,63.0,2.0
2020-07-01,35.0,63.0,2.0
2020-07-02,35.0,63.0,2.0
2020-07-03,33.0,64.0,2.0
2020-07-04,33.0,64.0,2.0
2020-07-05,33.0,64.0,2.0
2020-07-06,33.0,64.0,2.0
2020-07-07,33.0,65.0,2.0
2020-07-08,33.0,65.0,2.0
2020-07-09,33.0,65.0,2.0
2020-07-10,33.0,65.0,2.0
2020-07-11,33.0,65.0,2.0
2020-07-12,33.0,65.0,2.0
2020-07-13,33.0,65.0,2.0
2020-07-14,32.0,65.0,2.0
